Rank,Geographic_Area,Pop_Est_ Apr_2020 ,Pop_Est_Jul_2020,Pop_Est_Jul_2021
392,"Santa Fe city, New Mexico",87497,87684,88193
393,"Springdale city, Arkansas",87441,87390,87609
394,"Newton city, Massachusetts",88787,88624,87453
395,"Citrus Heights city, California",88018,87911,87402
396,"San Ramon city, California",86426,86669,86947
397,"Bryan city, Texas",85461,85810,86866
398,"Troy city, Michigan",87316,87125,86836
399,"Livermore city, California",88614,88487,86803
400,"Ogden city, Utah",86830,86726,86798
401,"Danbury city, Connecticut",86550,86356,86759
402,"Duluth city, Minnesota",86645,86601,86372
403,"Medford city, Oregon",85828,85861,86367
404,"Deerfield Beach city, Florida",86873,86716,86339
405,"Mission city, Texas",85868,85870,86223
406,"Hawthorne city, California",88255,87938,86091
407,"Manteca city, California",83678,83948,85792
408,"Lake Forest city, California",86070,86005,85742
409,"Auburn city, Washington",87351,87143,85699
410,"Sioux City city, Iowa",85731,85654,85617
411,"Franklin city, Tennessee",83347,83887,85469
412,"Temple city, Texas",81938,82454,85416
413,"Whittier city, California",87383,87045,85311
414,"Melbourne city, Florida",84313,84373,85064
415,"Newport Beach city, California",85411,85333,84792
416,"Brooklyn Park city, Minnesota",86688,86411,84526
417,"Westland city, Michigan",85433,85274,84515
418,"Kennewick city, Washington",83943,83922,84488
419,"Farmington Hills city, Michigan",83991,83781,83292
420,"Layton city, Utah",81759,81967,83291
421,"Cicero town, Illinois",85180,84864,83161
422,"Buena Park city, California",84173,83968,83011
422,"Warwick city, Rhode Island",82976,82960,83011
424,"Cranston city, Rhode Island",82935,82833,82566
425,"Baytown city, Texas",83698,83495,82480
426,"Largo city, Florida",82632,82515,82341
427,"Johns Creek city, Georgia",82499,82591,82065
428,"Longview city, Texas",81760,81713,81762
429,"Redwood City city, California",84234,84180,81643
430,"New Rochelle city, New York",79996,80559,81587
431,"Mountain View city, California",82592,82455,81516
432,"Warner Robins city, Georgia",80324,80494,81446
433,"Folsom city, California",79036,79475,81224
434,"Alhambra city, California",83001,82748,81211
435,"Gastonia city, North Carolina",80367,80392,81161
436,"Lake Charles city, Louisiana",85434,85352,81097
437,"Miami Beach city, Florida",82826,82345,80671
438,"Flint city, Michigan",81381,81201,80628
439,"Lakewood city, California",82727,82403,80611
440,"Homestead city, Florida",80697,80423,80528
441,"Rancho Cordova city, California",79666,79790,80413
442,"South Jordan city, Utah",77661,78082,80139
443,"Boynton Beach city, Florida",80401,80631,80089
444,"North Port city, Florida",75175,75816,80021
445,"Parma city, Ohio",81047,80824,79982
446,"Lehi city, Utah",76107,77000,79978
447,"Bloomington city, Indiana",79912,79801,79968
448,"Perris city, California",78786,78897,79835
449,"Plymouth city, Minnesota",81181,81091,79828
450,"Somerville city, Massachusetts",81054,80842,79815
451,"Pharr city, Texas",79779,79836,79697
452,"Frederick city, Maryland",78062,78215,79588
453,"Kissimmee city, Florida",79242,79158,79436
454,"Tustin city, California",80142,80023,79430
455,"Jonesboro city, Arkansas",78524,78787,79324
456,"Upland city, California",79110,79118,79274
457,"Milpitas city, California",80275,80363,79066
458,"Lynchburg city, Virginia",79009,78871,79009
459,"Pasco city, Washington",77579,77856,78871
460,"Napa city, California",79276,79051,78818
461,"Cedar Park city, Texas",77646,78038,78693
462,"Chino Hills city, California",78573,78544,78665
463,"Auburn city, Alabama",76000,76429,78564
464,"Bloomington city, Illinois",78273,78226,78283
465,"Pleasanton city, California",80421,80201,78252
466,"Evanston city, Illinois",79035,78796,77517
467,"Bellflower city, California",79298,79019,77408
468,"Flower Mound town, Texas",75859,76330,77243
469,"Loveland city, Colorado",76677,76622,77194
470,"Racine city, Wisconsin",77775,77578,77127
471,"Schaumburg village, Illinois",78691,78443,77082
472,"Woodbury city, Minnesota",75163,75479,76990
473,"Flagstaff city, Arizona",76781,76960,76989
474,"Hammond city, Indiana",77754,77607,76984
475,"Wyoming city, Michigan",76574,76772,76749
476,"Pittsburg city, California",76439,76600,76544
477,"Alameda city, California",78611,78333,76362
478,"Redmond city, Washington",73375,73422,76354
479,"Castle Rock town, Colorado",73012,73700,76353
480,"Apple Valley town, California",75913,75929,76224
481,"Rapid City city, South Dakota",74194,74350,76184
482,"Rochester Hills city, Michigan",76293,76135,76028
483,"Arlington Heights village, Illinois",77595,77377,76000
484,"Doral city, Florida",75803,76094,75966
485,"Southfield city, Michigan",76579,76367,75898
486,"Scranton city, Pennsylvania",76110,75950,75874
487,"Bethlehem city, Pennsylvania",75710,75629,75624
488,"Georgetown city, Texas",66964,68227,75420
489,"Pawtucket city, Rhode Island",75842,75721,75387
490,"Broomfield city, Colorado",74112,74513,75325
491,"Appleton city, Wisconsin",75315,75300,74854
492,"Missouri City city, Texas",74244,74380,74850
493,"Missoula city, Montana",73746,73949,74822
494,"Iowa City city, Iowa",74373,74443,74596
495,"Daytona Beach city, Florida",71681,71838,74437
496,"Mansfield city, Texas",72654,72778,74368
497,"Bismarck city, North Dakota",73651,73675,74138
498,"Rock Hill city, South Carolina",73905,74157,74102
499,"New Britain city, Connecticut",74217,74062,73841
500,"Bolingbrook village, Illinois",73956,73831,73597
501,"Bowling Green city, Kentucky",72524,72642,73529
502,"Lauderhill city, Florida",74495,74271,73458
503,"Redlands city, California",73004,73023,73288
504,"Kalamazoo city, Michigan",73808,73707,73257
505,"Rocklin city, California",71571,71801,72975
506,"Jacksonville city, North Carolina",73339,73183,72876
507,"Lakeville city, Minnesota",69654,70175,72812
508,"Turlock city, California",72645,72611,72682
509,"Mount Vernon city, New York",73693,73483,72581
510,"Gulfport city, Mississippi",72961,72837,72105
511,"Greenville city, South Carolina",70633,70899,72095
512,"Harlingen city, Texas",71802,71803,71925
513,"Camden city, New Jersey",72001,71976,71773
514,"Dublin city, California",72142,72312,71674
515,"St. Joseph city, Missouri",72456,72293,71602
516,"Lake Elsinore city, California",70366,70415,71563
517,"Tamarac city, Florida",71891,71842,71541
518,"Eastvale city, California",69849,70023,71375
519,"Johnson City city, Tennessee",70588,70576,71278
520,"Framingham city, Massachusetts",72342,72162,71265
521,"Waukesha city, Wisconsin",71405,71365,71256
522,"Dothan city, Alabama",71182,71154,71175
523,"Marysville city, Washington",70683,70894,71144
524,"Rogers city, Arkansas",69753,70123,71112
525,"Blaine city, Minnesota",70293,70505,70935
526,"Noblesville city, Indiana",69517,69800,70926
527,"Camarillo city, California",70797,70844,70858
528,"Lafayette city, Indiana",70906,70809,70835
529,"St. Charles city, Missouri",70384,70562,70820
530,"Wilmington city, Delaware",70941,70875,70750
531,"Tulare city, California",68880,69197,70733
532,"Maple Grove city, Minnesota",70509,70518,70726
533,"Baldwin Park city, California",72323,72082,70629
534,"Canton city, Ohio",70947,70784,70426
535,"Ankeny city, Iowa",67892,68316,70287
536,"North Richland Hills city, Texas",69968,70310,70209
537,"West Des Moines city, Iowa",68717,68895,69792
538,"Redondo Beach city, California",71520,71261,69781
539,"Walnut Creek city, California",70078,69974,69695
540,"Decatur city, Illinois",70765,70514,69646
541,"Passaic city, New Jersey",70466,70316,69633
542,"Yuba City city, California",70101,69952,69536
543,"Eau Claire city, Wisconsin",69291,69313,69441
544,"Bayonne city, New Jersey",71555,71546,69211
545,"Gaithersburg city, Maryland",69657,69522,69101
546,"Albany city, Georgia",69832,69486,69048
547,"East Orange city, New Jersey",69725,69577,68903
548,"St. Cloud city, Minnesota",68774,68711,68818
549,"Union City city, California",70650,70460,68681
550,"Eagan city, Minnesota",68905,68766,68642
551,"San Marcos city, Texas",67290,67701,68580
552,"Gary city, Indiana",68982,68853,68325
553,"Portland city, Maine",68402,68427,68313
554,"Jackson city, Tennessee",68211,68169,68114
555,"Yorba Linda city, California",68460,68431,67989
556,"Madera city, California",66316,66523,67944
557,"Shawnee city, Kansas",67340,67405,67511
558,"Haverhill city, Massachusetts",67764,67690,67361
559,"Weston city, Florida",68094,67928,67312
560,"Rockville city, Maryland",67101,67357,67139
561,"Leander city, Texas",59345,60965,67124
562,"Lodi city, California",66409,66471,67021
563,"Schenectady city, New York",67000,66879,66990
564,"Grand Junction city, Colorado",65733,65822,66964
565,"Waterloo city, Iowa",67453,67381,66941
566,"Idaho Falls city, Idaho",65413,65657,66898
567,"Pflugerville city, Texas",65678,65964,66884
568,"Davis city, California",66796,66659,66799
569,"Palo Alto city, California",68724,68486,66680
570,"Sammamish city, Washington",67600,67534,66630
571,"Oshkosh city, Wisconsin",66777,66693,66607
572,"Delray Beach city, Florida",66911,66839,66573
573,"Novi city, Michigan",66252,66186,66560
574,"Ames city, Iowa",65955,65999,66424
575,"Skokie village, Illinois",67775,67682,66422
576,"Queen Creek town, Arizona",59590,60942,66346
577,"Palatine village, Illinois",67771,67588,66321
578,"Alpharetta city, Georgia",65852,65968,66127
579,"Janesville city, Wisconsin",65631,65643,65942
580,"Union City city, New Jersey",68512,68087,65638
581,"Lynwood city, California",67139,66897,65505
582,"Lorain city, Ohio",65340,65324,65430
583,"Victoria city, Texas",65643,65590,65377
584,"Kenner city, Louisiana",66474,66323,65364
585,"Muncie city, Indiana",65382,65241,65292
586,"Conway city, Arkansas",63656,63783,65121
587,"Malden city, Massachusetts",66353,66114,65074
588,"Cheyenne city, Wyoming",65096,65161,65051
589,"Greenwood city, Indiana",63903,64035,64918
590,"Brentwood city, California",64355,64499,64870
591,"Utica city, New York",65263,65102,64501
592,"Commerce City city, Colorado",62477,62793,64287
593,"South San Francisco city, California",66119,66128,64251
594,"Laguna Niguel city, California",64519,64359,64239
595,"North Little Rock city, Arkansas",64633,64665,64162
596,"Millcreek city, Utah",63899,63637,64110
597,"Ocala city, Florida",63455,63600,64096
598,"Waltham city, Massachusetts",64994,64817,64015
599,"Burnsville city, Minnesota",64352,64530,63943
600,"San Clemente city, California",64409,64346,63896
601,"Bellevue city, Nebraska",64208,64301,63737
602,"Rowlett city, Texas",62543,62743,63671
603,"Caldwell city, Idaho",59985,60482,63629
604,"Port Orange city, Florida",62872,62940,63486
605,"Moore city, Oklahoma",63308,63503,63462
606,"Coon Rapids city, Minnesota",63660,63590,63385
607,"Lakewood city, Washington",63666,63619,63331
608,"Eden Prairie city, Minnesota",64375,64335,63161
609,"Hamilton city, Ohio",63386,63361,62947
610,"Apex town, North Carolina",58797,59945,62911
611,"Bossier City city, Louisiana",62722,62653,62865
612,"Porterville city, California",62607,62619,62742
613,"Maricopa city, Arizona",58442,59133,62720
614,"La Habra city, California",63200,63140,62609
615,"Taylor city, Michigan",63384,63252,62573
616,"Dearborn Heights city, Michigan",63257,63120,62451
617,"Council Bluffs city, Iowa",62701,62625,62415
618,"Hendersonville city, Tennessee",61756,62040,62257
619,"Springfield city, Oregon",62360,62295,62256
620,"Medford city, Massachusetts",59662,60425,62098
621,"St. Cloud city, Florida",58973,59404,62043
622,"Santa Cruz city, California",62341,62251,61950
623,"Richland city, Washington",60538,60798,61929
624,"Huntersville town, North Carolina",61403,61574,61839
625,"Encinitas city, California",62082,62037,61762
626,"Marietta city, Georgia",60969,60940,61497
627,"Wellington village, Florida",61854,61779,61448
628,"Woodland city, California",60852,60917,61398
629,"Montebello city, California",62771,62527,61204
630,"Vineland city, New Jersey",61305,61202,61156
631,"Chapel Hill town, North Carolina",61326,61272,61128
632,"Pontiac city, Michigan",61572,61390,60984
633,"Jupiter town, Florida",61100,61048,60802
634,"San Rafael city, California",61287,61154,60769
635,"Pico Rivera city, California",62215,61995,60764
636,"La Mesa city, California",61191,61111,60721
637,"Sanford city, Florida",60795,60760,60681
638,"Bristol city, Connecticut",60783,60665,60661
639,"Meriden city, Connecticut",60859,60703,60517
640,"Euless city, Texas",61089,61105,60500
641,"Great Falls city, Montana",60506,60420,60403
642,"Parker town, Colorado",58477,58800,60313
643,"Youngstown city, Ohio",60774,60598,60270
644,"Owensboro city, Kentucky",60205,60183,60011
645,"Corvallis city, Oregon",59696,59697,59864
646,"Stonecrest city, Georgia",59148,59181,59863
647,"Santee city, California",60075,60057,59703
648,"Gardena city, California",61069,60892,59702
649,"Kokomo city, Indiana",59609,59606,59691
650,"Monterey Park city, California",61259,61012,59667
651,"Taunton city, Massachusetts",59359,59428,59600
652,"White Plains city, New York",59555,59564,59526
653,"West Allis city, Wisconsin",60330,60223,59484
654,"Des Plaines city, Illinois",60681,60511,59459
655,"Palm Beach Gardens city, Florida",59218,59253,59449
656,"Blue Springs city, Missouri",58648,58774,59430
657,"Petaluma city, California",59713,59678,59403
658,"Wylie city, Texas",57602,57930,59394
659,"Taylorsville city, Utah",60552,60449,59242
660,"North Miami city, Florida",60250,59965,59229
661,"Dubuque city, Iowa",59639,59565,59119
662,"Revere city, Massachusetts",61878,61565,59075
663,"Carson City, Nevada",58639,58677,58993
664,"Burlington city, North Carolina",57346,57593,58818
665,"Grand Forks city, North Dakota",59022,58942,58781
666,"Springfield city, Ohio",58940,58801,58763
667,"Hempstead village, New York",59113,59000,58734
668,"Hoboken city, New Jersey",60675,60590,58690
669,"Casper city, Wyoming",59072,59242,58656
670,"Cupertino city, California",60575,60343,58622
671,"Terre Haute city, Indiana",58621,58543,58525
672,"Hanford city, California",57932,58006,58496
673,"Lenexa city, Kansas",57425,57501,58388
674,"Madison city, Alabama",57124,57389,58357
675,"Lake Havasu City city, Arizona",57204,57415,58284
676,"St. Clair Shores city, Michigan",58893,58751,58200
677,"Herriman city, Utah",55312,56321,58198
678,"Midwest City city, Oklahoma",58459,58466,58145
679,"St. Peters city, Missouri",57725,57678,58129
680,"Gilroy city, California",59669,59493,58101
681,"Margate city, Florida",58697,58552,58001
682,"Royal Oak city, Michigan",58217,58098,57953
683,"Shoreline city, Washington",58532,58699,57918
684,"Orland Park village, Illinois",58648,58501,57850
685,"Decatur city, Alabama",57851,57777,57804
686,"Casa Grande city, Arizona",53891,54335,57699
687,"Weymouth Town city, Massachusetts",57513,57568,57670
688,"Bowie city, Maryland",58310,58226,57644
689,"Lancaster city, Pennsylvania",57842,57712,57503
690,"Kettering city, Ohio",57743,57648,57377
691,"Bartlett city, Tennessee",57791,57711,57318
692,"Highland city, California",57083,57070,57159
693,"Coconut Creek city, Florida",57818,57668,57117
694,"Pocatello city, Idaho",56238,56282,57092
695,"Oak Lawn village, Illinois",58271,58089,57013
696,"Albany city, Oregon",56412,56599,56828
697,"Bentonville city, Arkansas",54120,54675,56734
698,"Fountain Valley city, California",57175,57054,56495
699,"Olympia city, Washington",55435,55626,55919
700,"National City city, California",56235,56149,55912
701,"Bradenton city, Florida",55423,55497,55905
702,"Coeur d'Alene city, Idaho",54515,54770,55904
703,"Berwyn city, Illinois",57120,56913,55772
704,"Tigard city, Oregon",54832,54995,55767
705,"DeSoto city, Texas",56155,56074,55729
706,"Port Arthur city, Texas",55610,55550,55724
707,"New Brunswick city, New Jersey",55443,55483,55708
708,"Smyrna city, Georgia",55689,55635,55685
709,"Apple Valley city, Minnesota",56246,56135,55638
710,"Kingsport city, Tennessee",55444,55366,55582
711,"Valdosta city, Georgia",55485,55468,55567
712,"Mount Prospect village, Illinois",56749,56626,55541
713,"Smyrna town, Tennessee",53138,53516,55518
714,"Apopka city, Florida",54897,54874,55496
715,"Southaven city, Mississippi",54640,54774,55429
716,"Brookhaven city, Georgia",55143,55119,55366
717,"Arcadia city, California",56737,56512,55345
718,"West Haven city, Connecticut",55560,55455,55294
719,"Perth Amboy city, New Jersey",55414,55389,55291
720,"San Jacinto city, California",53946,54086,55290
721,"Beaumont city, California",53101,53549,55280
722,"Chicopee city, Massachusetts",55576,55481,55190
723,"Plainfield city, New Jersey",54609,54418,54936
724,"Bonita Springs city, Florida",53820,54006,54904
725,"Marana town, Arizona",52020,52758,54895
726,"Tinley Park village, Illinois",55922,55770,54864
727,"Anderson city, Indiana",54745,54669,54817
728,"Sarasota city, Florida",54108,54155,54764
729,"Manhattan city, Kansas",54507,54544,54763
730,"Yucaipa city, California",54620,54605,54739
731,"Bozeman city, Montana",52855,53119,54539
732,"Lacey city, Washington",53442,53828,54461
733,"Kannapolis city, North Carolina",53145,53431,54446
734,"Logan city, Utah",52673,52665,54436
735,"Colton city, California",53945,53975,54285
736,"Texas City city, Texas",51898,52259,54247
737,"Kentwood city, Michigan",54375,54305,54141
738,"Peabody city, Massachusetts",54486,54410,54119
739,"Rocky Mount city, North Carolina",54351,54248,53957
740,"Elkhart city, Indiana",54044,53951,53949
741,"Diamond Bar city, California",55226,55026,53857
742,"Pensacola city, Florida",54394,54359,53678
743,"Huntington Park city, California",55005,54806,53644
744,"West Sacramento city, California",53666,53631,53637
745,"Normal town, Illinois",53585,53575,53594
746,"Spring Hill city, Tennessee",50021,50595,53339
747,"Edina city, Minnesota",53563,53430,53318
748,"Minnetonka city, Minnesota",53962,54241,53266
749,"Oak Park village, Illinois",54486,54318,53224
750,"Galveston city, Texas",53585,53520,53219
751,"Twin Falls city, Idaho",51593,51816,53213
752,"Pinellas Park city, Florida",53116,53359,53202
753,"Wheaton city, Illinois",53718,53593,53126
754,"Elyria city, Ohio",52738,52730,52816
755,"Methuen Town city, Massachusetts",53026,52999,52798
756,"Winter Haven city, Florida",50247,50603,52710
757,"Novato city, California",53130,53006,52708
758,"Paramount city, California",53828,53631,52506
759,"Battle Creek city, Michigan",52631,52541,52335
759,"Grand Island city, Nebraska",53083,52944,52335
761,"West New York town, New Jersey",52798,52493,52242
762,"Cathedral City city, California",51535,51577,52220
763,"La Crosse city, Wisconsin",52690,52647,52185
764,"Delano city, California",51845,51864,52173
765,"Watsonville city, California",52739,52623,52067
766,"Florissant city, Missouri",52548,52445,52003
767,"Joplin city, Missouri",51719,51703,51846
768,"Aliso Viejo city, California",52174,52173,51824
769,"Kyle city, Texas",45752,46464,51789
770,"Draper city, Utah",50510,50481,51749
771,"Burleson city, Texas",47807,48132,51618
772,"Mooresville town, North Carolina",50205,50452,51594
773,"Glendora city, California",52610,52505,51569
774,"Palm Desert city, California",51163,51167,51541
775,"Harrisonburg city, Virginia",51814,51675,51430
776,"Hoffman Estates village, Illinois",52460,52333,51350
777,"Collierville town, Tennessee",51198,51247,51343
778,"Placentia city, California",51911,51789,51274
779,"Summerville town, South Carolina",50933,51010,51216
780,"Mishawaka city, Indiana",51201,51126,51074
781,"Burien city, Washington",52121,52004,51073
782,"Little Elm city, Texas",46361,47078,51042
783,"Middletown city, Ohio",51033,51026,50998
784,"Dunwoody city, Georgia",51629,51539,50901
785,"Grapevine city, Texas",50651,50756,50872
786,"Cuyahoga Falls city, Ohio",51109,51014,50810
787,"Lincoln city, California",49808,49855,50649
788,"Westfield city, Indiana",46427,46990,50630
789,"Columbus city, Indiana",50423,50391,50569
790,"Enid city, Oklahoma",51327,51149,50566
791,"Milford city (balance), Connecticut",50587,50532,50541
792,"Covina city, California",51373,51246,50411
793,"Troy city, New York",50760,50684,50394
794,"Newark city, Ohio",49913,49952,50383
795,"Jeffersonville city, Indiana",49413,49494,50315
796,"Rosemead city, California",51268,51138,50245
797,"Harrisburg city, Pennsylvania",50090,50069,50135
798,"Lakewood city, Ohio",50848,50693,50104
799,"Sheboygan city, Wisconsin",50017,49945,49931
800,"Cypress city, California",50269,50266,49926
801,"Murray city, Utah",50743,50589,49729
802,"Chesterfield city, Missouri",50014,49956,49703
803,"Downers Grove village, Illinois",50230,50126,49654
804,"St. Louis Park city, Minnesota",50016,50020,49158
